pair_id,frame_A,frame_B,crop_A,crop_B
vid_000,19,17,vid_000_A.jpg,vid_000_B.jpg
vid_001,44,43,vid_001_A.jpg,vid_001_B.jpg
vid_002,72,71,vid_002_A.jpg,vid_002_B.jpg
vid_004,151,151,vid_004_A.jpg,vid_004_B.jpg
vid_005,180,178,vid_005_A.jpg,vid_005_B.jpg
vid_006,210,205,vid_006_A.jpg,vid_006_B.jpg
vid_007,237,230,vid_007_A.jpg,vid_007_B.jpg
vid_009,286,284,vid_009_A.jpg,vid_009_B.jpg
vid_010,343,338,vid_010_A.jpg,vid_010_B.jpg
vid_011,366,364,vid_011_A.jpg,vid_011_B.jpg
vid_012,423,418,vid_012_A.jpg,vid_012_B.jpg
vid_013,450,445,vid_013_A.jpg,vid_013_B.jpg
vid_014,472,471,vid_014_A.jpg,vid_014_B.jpg
vid_015,526,525,vid_015_A.jpg,vid_015_B.jpg
vid_016,583,577,vid_016_A.jpg,vid_016_B.jpg
vid_017,610,603,vid_017_A.jpg,vid_017_B.jpg
vid_018,632,629,vid_018_A.jpg,vid_018_B.jpg
vid_019,657,655,vid_019_A.jpg,vid_019_B.jpg
vid_020,685,684,vid_020_A.jpg,vid_020_B.jpg
vid_021,712,710,vid_021_A.jpg,vid_021_B.jpg
